ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Gangwon,Gangwon,,,,,
Gyeonggi,Gyeonggi,,37.54,126.98,seou1239,
Hwanghae,Hwanghae,,38.29,125.47,hwan1238,
Jeju,Jeju,,33.3805,126.5554,jeju1234,
MiddleKorean,MiddleKorean,,,,,
NorthChungcheong,NorthChungcheong,,36.63,127.31,chun1247,
NorthGyeongsang,NorthGyeongsang,,35.3,128.3,kyon1247,
NorthHamgyong,NorthHamgyong,,42.34,129.84,hamg1238,
NorthJeolla,NorthJeolla,,35.14,126.84,chol1278,
NorthPyongan,NorthPyongan,,39.44,126.16,pyon1239,
SouthChungcheong,SouthChungcheong,,36.63,127.31,chun1247,
SouthGyeongsang,SouthGyeongsang,,35.3,128.3,kyon1247,
SouthHamgyong,SouthHamgyong,,42.34,129.84,hamg1238,
SouthJeolla,SouthJeolla,,35.14,126.84,chol1278,
SouthPyongan,SouthPyongan,,39.44,126.16,pyon1239,
