ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
summary,summary,bayesian,,summary,years,summary,Lee2015
posterior-1,posterior-1,bayesian,,sample,years,posterior,Lee2015
posterior-2,posterior-2,bayesian,,sample,years,posterior,Lee2015
posterior-3,posterior-3,bayesian,,sample,years,posterior,Lee2015
posterior-4,posterior-4,bayesian,,sample,years,posterior,Lee2015
posterior-5,posterior-5,bayesian,,sample,years,posterior,Lee2015
posterior-6,posterior-6,bayesian,,sample,years,posterior,Lee2015
posterior-7,posterior-7,bayesian,,sample,years,posterior,Lee2015
posterior-8,posterior-8,bayesian,,sample,years,posterior,Lee2015
posterior-9,posterior-9,bayesian,,sample,years,posterior,Lee2015
posterior-10,posterior-10,bayesian,,sample,years,posterior,Lee2015
posterior-11,posterior-11,bayesian,,sample,years,posterior,Lee2015
posterior-12,posterior-12,bayesian,,sample,years,posterior,Lee2015
posterior-13,posterior-13,bayesian,,sample,years,posterior,Lee2015
posterior-14,posterior-14,bayesian,,sample,years,posterior,Lee2015
posterior-15,posterior-15,bayesian,,sample,years,posterior,Lee2015
posterior-16,posterior-16,bayesian,,sample,years,posterior,Lee2015
posterior-17,posterior-17,bayesian,,sample,years,posterior,Lee2015
posterior-18,posterior-18,bayesian,,sample,years,posterior,Lee2015
posterior-19,posterior-19,bayesian,,sample,years,posterior,Lee2015
posterior-20,posterior-20,bayesian,,sample,years,posterior,Lee2015
posterior-21,posterior-21,bayesian,,sample,years,posterior,Lee2015
posterior-22,posterior-22,bayesian,,sample,years,posterior,Lee2015
posterior-23,posterior-23,bayesian,,sample,years,posterior,Lee2015
posterior-24,posterior-24,bayesian,,sample,years,posterior,Lee2015
posterior-25,posterior-25,bayesian,,sample,years,posterior,Lee2015
posterior-26,posterior-26,bayesian,,sample,years,posterior,Lee2015
posterior-27,posterior-27,bayesian,,sample,years,posterior,Lee2015
posterior-28,posterior-28,bayesian,,sample,years,posterior,Lee2015
posterior-29,posterior-29,bayesian,,sample,years,posterior,Lee2015
posterior-30,posterior-30,bayesian,,sample,years,posterior,Lee2015
posterior-31,posterior-31,bayesian,,sample,years,posterior,Lee2015
posterior-32,posterior-32,bayesian,,sample,years,posterior,Lee2015
posterior-33,posterior-33,bayesian,,sample,years,posterior,Lee2015
posterior-34,posterior-34,bayesian,,sample,years,posterior,Lee2015
posterior-35,posterior-35,bayesian,,sample,years,posterior,Lee2015
